idx	fileid	tokenid	token	norm	lemma	ontoNer
93	ISW-_E_00001_SE_01_T_02_DF_01	w66	sehr	sehr	sehr	NONE
94	ISW-_E_00001_SE_01_T_02_DF_01	w67	aktuelle	aktuelle	aktuell	NONE
95	ISW-_E_00001_SE_01_T_02_DF_01	w68	Frage	Frage	Frage	NONE
96	ISW-_E_00001_SE_01_T_02_DF_01	w69	immer	immer	immer	B-FREQ
97	ISW-_E_00001_SE_01_T_02_DF_01	w70	für	für	für	NONE
98	ISW-_E_00001_SE_01_T_02_DF_01	w71	Kinder	Kinder	Kind	NONE
99	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
100	ISW-_E_00001_SE_01_T_02_DF_01	w72	und	und	und	NONE
101	ISW-_E_00001_SE_01_T_02_DF_01	w73	ich	ich	ich	NONE
102	ISW-_E_00001_SE_01_T_02_DF_01	w74	war	war	sein	NONE
103	ISW-_E_00001_SE_01_T_02_DF_01	w75	zwölf	zwölf	zwölf	B-AGE
104	ISW-_E_00001_SE_01_T_02_DF_01	(-)	NONE	NONE	NONE	NONE
105	ISW-_E_00001_SE_01_T_02_DF_01	w76	und	und	und	NONE
106	ISW-_E_00001_SE_01_T_02_DF_01	w77	ich	ich	ich	NONE
107	ISW-_E_00001_SE_01_T_02_DF_01	w78	sehe	sehe	sehen	NONE
108	ISW-_E_00001_SE_01_T_02_DF_01	w79	mich	mich	ich	NONE
109	ISW-_E_00001_SE_01_T_02_DF_01	w80	bei	bei	bei	NONE
110	ISW-_E_00001_SE_01_T_02_DF_01	w81	meiner	meiner	mein	NONE
111	ISW-_E_00001_SE_01_T_02_DF_01	w82	Tante	Tante	Tante	NONE
112	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
113	ISW-_E_00001_SE_01_T_02_DF_01	w83	die	die	die	NONE
114	ISW-_E_00001_SE_01_T_02_DF_01	w84	das	das	die	NONE
115	ISW-_E_00001_SE_01_T_02_DF_01	w85	eben	eben	eben	NONE
116	ISW-_E_00001_SE_01_T_02_DF_01	w86	auch	auch	auch	NONE
117	ISW-_E_00001_SE_01_T_02_DF_01	w87	fragt	fragt	fragen	NONE
118	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
119	ISW-_E_00001_SE_01_T_02_DF_01	w88	und	und	und	NONE
120	ISW-_E_00001_SE_01_T_02_DF_01	w89	ich	ich	ich	NONE
121	ISW-_E_00001_SE_01_T_02_DF_01	w90	sag	sag	sagen	NONE
122	ISW-_E_00001_SE_01_T_02_DF_01	:	NONE	NONE	NONE	NONE
123	ISW-_E_00001_SE_01_T_02_DF_01	""""""""""	NONE	NONE	NONE	NONE
124	ISW-_E_00001_SE_01_T_02_DF_01	w91	Jetzt	Jetzt	jetzt	B-TIME
125	ISW-_E_00001_SE_01_T_02_DF_01	w92	bin	bin	sein	NONE
126	ISW-_E_00001_SE_01_T_02_DF_01	w93	ich	ich	ich	NONE
127	ISW-_E_00001_SE_01_T_02_DF_01	w94	zwölf	zwölf	zwölf	B-AGE
128	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
129	ISW-_E_00001_SE_01_T_02_DF_01	w95	eigentlich	eigentlich	eigentlich	NONE
130	ISW-_E_00001_SE_01_T_02_DF_01	w96	würd	würd	würd	NONE
131	ISW-_E_00001_SE_01_T_02_DF_01	w97	ich	ich	ich	NONE
132	ISW-_E_00001_SE_01_T_02_DF_01	w98	ganz	ganz	ganz	NONE
133	ISW-_E_00001_SE_01_T_02_DF_01	w99	gern	gern	gern	NONE
134	ISW-_E_00001_SE_01_T_02_DF_01	w100	so	so	so	NONE
135	ISW-_E_00001_SE_01_T_02_DF_01	w101	bleiben	bleiben	bleiben	NONE
136	ISW-_E_00001_SE_01_T_02_DF_01	.	NONE	NONE	NONE	NONE
137	ISW-_E_00001_SE_01_T_02_DF_01	""""""""""	NONE	NONE	NONE	NONE
138	ISW-_E_00001_SE_01_T_02_DF_01	w102	Und	Und	und	NONE
139	ISW-_E_00001_SE_01_T_02_DF_01	w103	das	das	die	NONE
140	ISW-_E_00001_SE_01_T_02_DF_01	w104	ist	ist	sein	NONE
141	ISW-_E_00001_SE_01_T_02_DF_01	w105	eigentlich	eigentlich	eigentlich	NONE
142	ISW-_E_00001_SE_01_T_02_DF_01	/	NONE	NONE	NONE	NONE
143	ISW-_E_00001_SE_01_T_02_DF_01	w106	ich	ich	ich	NONE
144	ISW-_E_00001_SE_01_T_02_DF_01	/	NONE	NONE	NONE	NONE
145	ISW-_E_00001_SE_01_T_02_DF_01	w107	wenn	wenn	wenn	NONE
146	ISW-_E_00001_SE_01_T_02_DF_01	w108	so	so	so	NONE
147	ISW-_E_00001_SE_01_T_02_DF_01	w109	ein	ein	eine	NONE
148	ISW-_E_00001_SE_01_T_02_DF_01	w110	Kind	Kind	Kind	NONE
149	ISW-_E_00001_SE_01_T_02_DF_01	w111	sagt	sagt	sagen	NONE
150	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
151	ISW-_E_00001_SE_01_T_02_DF_01	w112	so	so	so	NONE
152	ISW-_E_00001_SE_01_T_02_DF_01	w113	was	was	was	NONE
153	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
154	ISW-_E_00001_SE_01_T_02_DF_01	w114	ohne	ohne	ohne	NONE
155	ISW-_E_00001_SE_01_T_02_DF_01	w115	sich	sich	sich	NONE
156	ISW-_E_00001_SE_01_T_02_DF_01	w116	darüber	darüber	darüber	NONE
157	ISW-_E_00001_SE_01_T_02_DF_01	w117	den	den	die	NONE
158	ISW-_E_00001_SE_01_T_02_DF_01	w118	Kopf	Kopf	Kopf	NONE
159	ISW-_E_00001_SE_01_T_02_DF_01	w119	zu	zu	zu	NONE
160	ISW-_E_00001_SE_01_T_02_DF_01	w120	zerbrechen	zerbrechen	zerbrechen	NONE
161	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
162	ISW-_E_00001_SE_01_T_02_DF_01	w121	warum	warum	warum	NONE
163	ISW-_E_00001_SE_01_T_02_DF_01	w122	sagt	sagt	sagen	NONE
164	ISW-_E_00001_SE_01_T_02_DF_01	w123	sie	sie	sie	NONE
165	ISW-_E_00001_SE_01_T_02_DF_01	=	NONE	NONE	NONE	NONE
166	ISW-_E_00001_SE_01_T_02_DF_01	w124	n	n	n	NONE
167	ISW-_E_00001_SE_01_T_02_DF_01	w125	das	das	die	NONE
168	ISW-_E_00001_SE_01_T_02_DF_01	w126	eigentlich	eigentlich	eigentlich	NONE
169	ISW-_E_00001_SE_01_T_02_DF_01	?	NONE	NONE	NONE	NONE
170	ISW-_E_00001_SE_01_T_02_DF_01	w127	Aber	Aber	aber	NONE
171	ISW-_E_00001_SE_01_T_02_DF_01	(-)	NONE	NONE	NONE	NONE
172	ISW-_E_00001_SE_01_T_02_DF_01	w128	ich	ich	ich	NONE
173	ISW-_E_00001_SE_01_T_02_DF_01	w129	kann	kann	können	NONE
174	ISW-_E_00001_SE_01_T_02_DF_01	w130	mich	mich	ich	NONE
175	ISW-_E_00001_SE_01_T_02_DF_01	w131	dran	dran	dran	NONE
176	ISW-_E_00001_SE_01_T_02_DF_01	w132	erinnern	erinnern	erinnern	NONE
177	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
178	ISW-_E_00001_SE_01_T_02_DF_01	w133	also	also	also	NONE
179	ISW-_E_00001_SE_01_T_02_DF_01	w134	muss	muss	müssen	NONE
180	ISW-_E_00001_SE_01_T_02_DF_01	w135	ich	ich	ich	NONE
181	ISW-_E_00001_SE_01_T_02_DF_01	w136	doch	doch	doch	NONE
182	ISW-_E_00001_SE_01_T_02_DF_01	w137	zufrieden	zufrieden	zufrieden	NONE
183	ISW-_E_00001_SE_01_T_02_DF_01	w138	gewesen	gewesen	sein	NONE
184	ISW-_E_00001_SE_01_T_02_DF_01	w139	sein	sein	sein	NONE
185	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
186	ISW-_E_00001_SE_01_T_02_DF_01	(--)	NONE	NONE	NONE	NONE
187	ISW-_E_00001_SE_01_T_02_DF_01	w140	sonst	sonst	sonst	NONE
188	ISW-_E_00001_SE_01_T_02_DF_01	w141	hätt	hätt	hätt	NONE
189	ISW-_E_00001_SE_01_T_02_DF_01	w142	ich	ich	ich	NONE
190	ISW-_E_00001_SE_01_T_02_DF_01	w143	das	das	die	NONE
191	ISW-_E_00001_SE_01_T_02_DF_01	w144	nicht	nicht	nicht	NONE
192	ISW-_E_00001_SE_01_T_02_DF_01	w145	gesagt	gesagt	sagen	NONE
193	ISW-_E_00001_SE_01_T_02_DF_01	.	NONE	NONE	NONE	NONE
194	ISW-_E_00001_SE_01_T_02_DF_01	w146	Und	Und	und	NONE
195	ISW-_E_00001_SE_01_T_02_DF_01	(-)	NONE	NONE	NONE	NONE
196	ISW-_E_00001_SE_01_T_02_DF_01	w147	ich	ich	ich	NONE
197	ISW-_E_00001_SE_01_T_02_DF_01	w148	bin	bin	sein	NONE
198	ISW-_E_00001_SE_01_T_02_DF_01	/	NONE	NONE	NONE	NONE
199	ISW-_E_00001_SE_01_T_02_DF_01	w149	ä	ä	ä	NONE
200	ISW-_E_00001_SE_01_T_02_DF_01	(-)	NONE	NONE	NONE	NONE
201	ISW-_E_00001_SE_01_T_02_DF_01	w150	Jetzt	Jetzt	jetzt	B-TIME
202	ISW-_E_00001_SE_01_T_02_DF_01	w151	sag	sag	sagen	NONE
203	ISW-_E_00001_SE_01_T_02_DF_01	w152	ich	ich	ich	NONE
204	ISW-_E_00001_SE_01_T_02_DF_01	w153	was	was	was	NONE
205	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
206	ISW-_E_00001_SE_01_T_02_DF_01	w154	was	was	was	NONE
207	ISW-_E_00001_SE_01_T_02_DF_01	w155	ich	ich	ich	NONE
208	ISW-_E_00001_SE_01_T_02_DF_01	w156	nicht	nicht	nicht	NONE
209	ISW-_E_00001_SE_01_T_02_DF_01	w157	sagen	sagen	sagen	NONE
210	ISW-_E_00001_SE_01_T_02_DF_01	w158	sollte	sollte	sollen	NONE
211	ISW-_E_00001_SE_01_T_02_DF_01	.	NONE	NONE	NONE	NONE
212	ISW-_E_00001_SE_01_T_02_DF_01	w159	Denn	Denn	denn	NONE
213	ISW-_E_00001_SE_01_T_02_DF_01	w160	ich	ich	ich	NONE
214	ISW-_E_00001_SE_01_T_02_DF_01	w161	bin	bin	sein	NONE
215	ISW-_E_00001_SE_01_T_02_DF_01	w162	nur	nur	nur	NONE
216	ISW-_E_00001_SE_01_T_02_DF_01	w163	in	in	in	NONE
217	ISW-_E_00001_SE_01_T_02_DF_01	w164	die	die	die	NONE
218	ISW-_E_00001_SE_01_T_02_DF_01	w165	Hauptschule	Hauptschule	Hauptschule	NONE
219	ISW-_E_00001_SE_01_T_02_DF_01	w166	gegangen	gegangen	gehen	NONE
220	ISW-_E_00001_SE_01_T_02_DF_01	.	NONE	NONE	NONE	NONE
221	ISW-_E_00001_SE_01_T_02_DF_01	w167	Es	Es	es	NONE
222	ISW-_E_00001_SE_01_T_02_DF_01	w168	hat	hat	haben	NONE
223	ISW-_E_00001_SE_01_T_02_DF_01	w169	Leute	Leute	Leute	NONE
224	ISW-_E_00001_SE_01_T_02_DF_01	w170	ja	ja	ja	NONE
225	ISW-_E_00001_SE_01_T_02_DF_01	w171	schon	schon	schon	NONE
226	ISW-_E_00001_SE_01_T_02_DF_01	w172	gegeben	gegeben	geben	NONE
227	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
228	ISW-_E_00001_SE_01_T_02_DF_01	w173	das	das	die	NONE
229	ISW-_E_00001_SE_01_T_02_DF_01	w174	brauchst	brauchst	brauchen	NONE
230	ISW-_E_00001_SE_01_T_02_DF_01	w175	doch	doch	doch	NONE
231	ISW-_E_00001_SE_01_T_02_DF_01	w176	niemand	niemand	niemand	NONE
232	ISW-_E_00001_SE_01_T_02_DF_01	w177	sagen	sagen	sagen	NONE
233	ISW-_E_00001_SE_01_T_02_DF_01	.	NONE	NONE	NONE	NONE
234	ISW-_E_00001_SE_01_T_02_DF_01	w178	Sag	Sag	sagen	NONE
235	ISW-_E_00001_SE_01_T_02_DF_01	w179	ich	ich	ich	NONE
236	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
237	ISW-_E_00001_SE_01_T_02_DF_01	""""""""""	NONE	NONE	NONE	NONE
238	ISW-_E_00001_SE_01_T_02_DF_01	w180	Aber	Aber	aber	NONE
239	ISW-_E_00001_SE_01_T_02_DF_01	w181	warum	warum	warum	NONE
240	ISW-_E_00001_SE_01_T_02_DF_01	w182	soll	soll	sollen	NONE
241	ISW-_E_00001_SE_01_T_02_DF_01	w183	ich	ich	ich	NONE
242	ISW-_E_00001_SE_01_T_02_DF_01	w184	das	das	die	NONE
243	ISW-_E_00001_SE_01_T_02_DF_01	w185	nicht	nicht	nicht	NONE
244	ISW-_E_00001_SE_01_T_02_DF_01	w186	sagen	sagen	sagen	NONE
245	ISW-_E_00001_SE_01_T_02_DF_01	?	NONE	NONE	NONE	NONE
246	ISW-_E_00001_SE_01_T_02_DF_01	""""""""""	NONE	NONE	NONE	NONE
247	ISW-_E_00001_SE_01_T_02_DF_01	(-)	NONE	NONE	NONE	NONE
248	ISW-_E_00001_SE_01_T_02_DF_01	w187	Ich	Ich	ich	NONE
249	ISW-_E_00001_SE_01_T_02_DF_01	w188	hab	hab	haben	NONE
250	ISW-_E_00001_SE_01_T_02_DF_01	w189	solche	solche	solche	NONE
251	ISW-_E_00001_SE_01_T_02_DF_01	/	NONE	NONE	NONE	NONE
252	ISW-_E_00001_SE_01_T_02_DF_01	(--)	NONE	NONE	NONE	NONE
253	ISW-_E_00001_SE_01_T_02_DF_01	w190	Ich	Ich	ich	NONE
254	ISW-_E_00001_SE_01_T_02_DF_01	w191	ich	ich	ich	NONE
255	ISW-_E_00001_SE_01_T_02_DF_01	w192	bin	bin	sein	NONE
256	ISW-_E_00001_SE_01_T_02_DF_01	w193	viel	viel	viel	NONE
257	ISW-_E_00001_SE_01_T_02_DF_01	w194	zu	zu	zu	NONE
258	ISW-_E_00001_SE_01_T_02_DF_01	w195	ehrlich	ehrlich	ehrlich	NONE
259	ISW-_E_00001_SE_01_T_02_DF_01	.	NONE	NONE	NONE	NONE
260	ISW-_E_00001_SE_01_T_02_DF_01	w196	Ja	Ja	ja	NONE
261	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
262	ISW-_E_00001_SE_01_T_02_DF_01	w197	ich	ich	ich	NONE
263	ISW-_E_00001_SE_01_T_02_DF_01	w198	bin	bin	sein	NONE
264	ISW-_E_00001_SE_01_T_02_DF_01	w199	bestimmt	bestimmt	bestimmt	NONE
265	ISW-_E_00001_SE_01_T_02_DF_01	w200	viel	viel	viel	NONE
266	ISW-_E_00001_SE_01_T_02_DF_01	w201	zu	zu	zu	NONE
267	ISW-_E_00001_SE_01_T_02_DF_01	w202	ehrlich	ehrlich	ehrlich	NONE
268	ISW-_E_00001_SE_01_T_02_DF_01	.	NONE	NONE	NONE	NONE
269	ISW-_E_00001_SE_01_T_02_DF_01	w203	Aber	Aber	aber	NONE
270	ISW-_E_00001_SE_01_T_02_DF_01	w204	ich	ich	ich	NONE
271	ISW-_E_00001_SE_01_T_02_DF_01	(-)	NONE	NONE	NONE	NONE
272	ISW-_E_00001_SE_01_T_02_DF_01	w205	bin	bin	sein	NONE
273	ISW-_E_00001_SE_01_T_02_DF_01	w206	eben	eben	eben	NONE
274	ISW-_E_00001_SE_01_T_02_DF_01	w207	viel	viel	viel	NONE
275	ISW-_E_00001_SE_01_T_02_DF_01	w208	zu	zu	zu	NONE
276	ISW-_E_00001_SE_01_T_02_DF_01	w209	ehrlich	ehrlich	ehrlich	NONE
277	ISW-_E_00001_SE_01_T_02_DF_01	,	NONE	NONE	NONE	NONE
278	ISW-_E_00001_SE_01_T_02_DF_01	w210	und	und	und	NONE
279	ISW-_E_00001_SE_01_T_02_DF_01	w211	jetzt	jetzt	jetzt	B-TIME
280	ISW-_E_00001_SE_01_T_02_DF_01	w212	bin	bin	sein	NONE
281	ISW-_E_00001_SE_01_T_02_DF_01	w213	ich	ich	ich	NONE
282	ISW-_E_00001_SE_01_T_02_DF_01	w214	alte	alte	alt	NONE
283	ISW-_E_00001_SE_01_T_02_DF_01	w215	Frau	Frau	Frau	NONE
284	ISW-_E_00001_SE_01_T_02_DF_01	w216	und	und	und	NONE
285	ISW-_E_00001_SE_01_T_02_DF_01	w217	da	da	da	NONE
286	ISW-_E_00001_SE_01_T_02_DF_01	w218	wer	wer	wer	NONE
287	ISW-_E_00001_SE_01_T_02_DF_01	w219	ich	ich	ich	NONE
288	ISW-_E_00001_SE_01_T_02_DF_01	w220	mich	mich	ich	NONE
289	ISW-_E_00001_SE_01_T_02_DF_01	w221	nicht	nicht	nicht	NONE
290	ISW-_E_00001_SE_01_T_02_DF_01	w222	mehr	mehr	mehr	NONE
291	ISW-_E_00001_SE_01_T_02_DF_01	w223	ändern	ändern	ändern	NONE
292	ISW-_E_00001_SE_01_T_02_DF_01	.	NONE	NONE	NONE	NONE
293	ISW-_E_00001_SE_01_T_02_DF_01	w224	Und	Und	und	NONE
294	ISW-_E_00001_SE_01_T_02_DF_01	w225	ich	ich	ich	NONE
295	ISW-_E_00001_SE_01_T_02_DF_01	w226	will	will	wollen	NONE
296	ISW-_E_00001_SE_01_T_02_DF_01	w227	mich	mich	ich	NONE
297	ISW-_E_00001_SE_01_T_02_DF_01	w228	vielleicht	vielleicht	vielleicht	NONE
298	ISW-_E_00001_SE_01_T_02_DF_01	w229	auch	auch	auch	NONE
299	ISW-_E_00001_SE_01_T_02_DF_01	w230	nicht	nicht	nicht	NONE
300	ISW-_E_00001_SE_01_T_02_DF_01	w231	ändern	ändern	ändern	NONE
301	ISW-_E_00001_SE_01_T_02_DF_01	.	NONE	NONE	NONE	NONE
302	ISW-_E_00001_SE_01_T_02_DF_01	w232	Also	Also	also	NONE
303	ISW-_E_00001_SE_01_T_02_DF_01	w233	ich	ich	ich	NONE
304	ISW-_E_00001_SE_01_T_02_DF_01	w234	bin	bin	sein	NONE
305	ISW-_E_00001_SE_01_T_02_DF_01	w235	wirklich	wirklich	wirklich	NONE
306	ISW-_E_00001_SE_01_T_02_DF_01	w236	nur	nur	nur	NONE
307	ISW-_E_00001_SE_01_T_02_DF_01	w237	in	in	in	NONE
308	ISW-_E_00001_SE_01_T_02_DF_01	w238	die	die	die	NONE
309	ISW-_E_00001_SE_01_T_02_DF_01	w239	Hauptschule	Hauptschule	Hauptschule	NONE
